(1:1)	| 	
(1:2)	| r: (0:407) 	
(1:3)	| 	
(1:4)	| 	
(1:5)	| l: (0:408) 	
(1:6)	| 	
(1:7)	| 	Shady Grove
(1:8)	| 	
(1:9)	| r: (0:411) 	
(1:10)	| 	
(1:11)	| 	
(1:12)	| l: (0:413) 	
(1:13)	| 	
(1:14)	| 	
(1:15)	| 	
(1:16)	| 	
(1:17)	| 	
(1:18)	| 	
(1:19)	| 	
(1:20)	| 	
(1:21)	| 	
(1:22)	| 	
(1:23)	| 	
(1:24)	| 	
(1:25)	| 	
(1:26)	| 	
(1:27)	| 	
(1:28)	| 	
(1:29)	| 	
(1:30)	| 	
(1:31)	| 	
(1:32)	| 	Rockville
(1:33)	| 	
(1:34)	| 	
(1:35)	| 	
(1:36)	| 	
(1:37)	| 	
(1:38)	| 	
(1:39)	| 	
(1:40)	| 	
(1:41)	| 	
(1:42)	| 	
(1:43)	| 	
(1:44)	| 	
(1:45)	| 	
(1:46)	| 	
(1:47)	| 	
(1:48)	| r: (0:415) 	
(1:49)	| 	
(1:50)	| 	
(1:51)	| l: (0:416) 	
(1:52)	| 	
(1:53)	| 	Twinbrook
(1:54)	| 	
(1:55)	| 	
(1:56)	| 	
(1:57)	| 	
(1:58)	| 	
(1:59)	| 	
(1:60)	| 	
(1:61)	| 	
(1:62)	| 	White Flint
(1:63)	| 	
(1:64)	| 	
(1:65)	| 	
(1:66)	| 	
(1:67)	| 	
(1:68)	| 	
(1:69)	| 	
(1:70)	| 	
(1:71)	| r: (0:419) 	
(1:72)	| 	
(1:73)	| 	
(1:74)	| 	
(1:75)	| 	
(1:76)	| 	
(1:77)	| 	
(1:78)	| l: (0:426) 	
(1:79)	| 	
(1:80)	| 	Grosvenor-Strathmore
(1:81)	| 	
(1:82)	| 	
(1:83)	| 	
(1:84)	| 	
(1:85)	| 	
(1:86)	| 	
(1:87)	| 	
(1:88)	| 	
(1:89)	| 	
(1:90)	| 	
(1:91)	| 	
(1:92)	| 	
(1:93)	| 	
(1:94)	| 	
(1:95)	| 	Medical Center
(1:96)	| 	
(1:97)	| r: (0:432) 	
(1:98)	| 	
(1:99)	| 	
(1:100)	| l: (0:433) 	
(1:101)	| 	
(1:102)	| 	
(1:103)	| 	
(1:104)	| 	
(1:105)	| 	
(1:106)	| 	
(1:107)	| 	
(1:108)	| 	
(1:109)	| 	Bethesda
(1:110)	| 	
(1:111)	| 	
(1:112)	| 	
(1:113)	| 	
(1:114)	| 	
(1:115)	| 	
(1:116)	| 	
(1:117)	| 	
(1:118)	| 	
(1:119)	| 	
(1:120)	| 	
(1:121)	| r: (0:436) 	
(1:122)	| 	
(1:123)	| 	
(1:124)	| l: (0:437) 	
(1:125)	| 	
(1:126)	| 	Friendship Heights
(1:127)	| 	
(1:128)	| 	
(1:129)	| 	
(1:130)	| 	
(1:131)	| 	
(1:132)	| 	
(1:133)	| 	Tenleytown-AU
(1:134)	| 	
(1:135)	| 	
(1:136)	| 	
(1:137)	| 	
(1:138)	| 	
(1:139)	| 	
(1:140)	| 	
(1:141)	| 	
(1:142)	| 	Van Ness-UDC
(1:143)	| 	
(1:144)	| r: (0:440) 	
(1:145)	| 	
(1:146)	| 	
(1:147)	| l: (0:441) 	
(1:148)	| 	
(1:149)	| 	
(1:150)	| 	
(1:151)	| 	
(1:152)	| 	
(1:153)	| 	
(1:154)	| 	Cleveland Park
(1:155)	| 	
(1:156)	| 	
(1:157)	| 	
(1:158)	| 	
(1:159)	| 	
(1:160)	| 	
(1:161)	| 	
(1:162)	| 	
(1:163)	| 	
(1:164)	| 	Woodley Park-Zoo/Adams Morgan
(1:165)	| 	
(1:166)	| 	
(1:167)	| 	
(1:168)	| 	
(1:169)	| 	
(1:170)	| 	
(1:171)	| 	
(1:172)	| 	
(1:173)	| 	
(1:174)	| r: (0:444) 	
(1:175)	| 	
(1:176)	| 	
(1:177)	| l: (0:445) 	
(1:178)	| 	
(1:179)	| 	Dupont Circle
(1:180)	| 	
(1:181)	| 	
(1:182)	| 	
(1:183)	| r: (0:448) 	
(1:184)	| 	
(1:185)	| 	
(1:186)	| 	
(1:187)	| 	
(1:188)	| l: (0:456) 	
(1:189)	| 	
(1:190)	| 	Farragut North
(1:191)	| 	
(1:192)	| 	
(1:193)	| 	
(1:194)	| 	
(1:195)	| 	
(1:196)	| 	
(1:197)	| 	
(1:198)	| 	
(1:199)	| 	
(1:200)	| 	
(1:201)	| 	
(1:202)	| 	
(1:203)	| 	Metro Center
(1:462)	| 	
(1:463)	| 	
(1:464)	| 	
(1:465)	| 	
(1:466)	| 	
(1:467)	| 	Gallery Pl-Chinatown
(1:468)	| 	
(1:469)	| 	
(1:470)	| 	
(1:471)	| 	
(1:472)	| r: (0:879) 	
(1:473)	| 	
(1:474)	| 	
(1:475)	| l: (0:880) 	
(1:476)	| 	
(1:477)	| 	Judiciary Square
(1:478)	| 	
(1:479)	| 	
(1:480)	| 	
(1:481)	| 	
(1:482)	| 	
(1:483)	| 	
(1:484)	| 	
(1:485)	| 	Union Station
(1:486)	| 	
(1:487)	| 	
(1:488)	| 	
(1:489)	| r: (0:884) 	
(1:490)	| 	
(1:491)	| 	
(1:492)	| l: (0:886) 	
(1:493)	| 	
(1:494)	| 	
(1:495)	| 	
(1:496)	| 	NoMa-Gallaudet U
(1:497)	| 	
(1:498)	| 	
(1:499)	| r: (0:887) 	
(1:500)	| 	
(1:501)	| 	
(1:502)	| 	
(1:503)	| r: (0:889) 	
(1:504)	| 	
(1:505)	| 	
(1:506)	| 	
(1:507)	| l: (0:891) 	
(1:508)	| 	
(1:509)	| 	
(1:510)	| 	
(1:511)	| 	
(1:512)	| 	
(1:513)	| 	Rhode Island Ave-Brentwood
(1:514)	| 	
(1:515)	| 	
(1:516)	| 	
(1:517)	| r: (0:895) 	
(1:518)	| 	
(1:519)	| 	
(1:520)	| l: (0:896) 	
(1:521)	| 	
(1:522)	| 	
(1:523)	| 	
(1:524)	| 	
(1:525)	| 	
(1:526)	| 	
(1:527)	| 	Brookland-CUA
(1:528)	| 	
(1:529)	| 	
(1:530)	| 	
(1:531)	| 	
(1:532)	| 	
(1:533)	| 	
(1:534)	| 	
(1:535)	| 	
(1:536)	| r: (0:899) 	
(1:537)	| 	
(1:538)	| 	
(1:539)	| 	
(1:540)	| l: (0:902) 	
(1:541)	| r: (0:903) 	
(1:542)	| 	
(1:543)	| 	
(1:544)	| 	
(1:545)	| 	
(1:546)	| 	
(1:547)	| 	
